epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.464,2.31079,3.46142,1.68904,0.00159,0.47561,0.00233,0.00117,1.69536,4.19624,1.30033,0.00038,0.00038,0.00038
2,133.023,1.72507,2.32303,1.32062,0.00187,0.56098,0.00245,0.00094,1.986,4.22647,1.3726,0.000764556,0.000764556,0.000764556
3,197.227,1.69847,2.21758,1.34838,0.00167,0.5,0.00201,0.00064,1.78423,4.02945,1.44586,0.00113327,0.00113327,0.00113327
4,261.88,1.89932,2.34226,1.44338,0.00141,0.41463,0.00103,0.00049,2.44161,3.99564,2.21813,0.00148615,0.00148615,0.00148615
5,325.8,1.87546,2.18858,1.38021,0.00212,0.43902,0.05493,0.03536,2.59104,4.05254,2.51267,0.00182318,0.00182318,0.00182318
6,390.816,1.56545,1.89902,1.27175,1,0.35079,0.77633,0.62122,0.98935,2.35801,1.05081,0.001802,0.001802,0.001802
7,453.928,1.70453,2.016,1.35562,0.00159,0.47561,0.20024,0.13501,2.98429,3.85995,2.22595,0.0017624,0.0017624,0.0017624
8,515.724,1.59562,1.84247,1.30305,0.95891,0.2561,0.26783,0.19465,2.5883,3.25189,2.08514,0.0017228,0.0017228,0.0017228
9,577.846,1.74551,1.95475,1.34429,0.82394,0.26829,0.50385,0.31364,1.71863,2.6489,1.2607,0.0016832,0.0016832,0.0016832
10,640.209,1.6906,1.852,1.32663,0.97751,0.53011,0.67348,0.47878,1.28562,2.48695,1.09251,0.0016436,0.0016436,0.0016436
11,702.146,1.6809,1.85977,1.37851,0.84556,0.26712,0.28066,0.2071,2.5274,3.17695,1.96314,0.001604,0.001604,0.001604
12,764.004,1.62761,1.808,1.33055,0.6879,0.57317,0.62859,0.37138,1.7287,1.98351,1.32752,0.0015644,0.0015644,0.0015644
13,826.55,1.53574,1.70163,1.28878,0.79734,0.63415,0.69229,0.50714,1.32477,1.8845,1.2641,0.0015248,0.0015248,0.0015248
14,888.149,1.46447,1.5568,1.23341,0.86381,0.61882,0.69532,0.55143,1.14091,1.72317,1.14169,0.0014852,0.0014852,0.0014852
15,950.163,1.51798,1.66183,1.32263,0.99874,0.7561,0.77657,0.64664,0.85883,0.94643,0.94417,0.0014456,0.0014456,0.0014456
16,1012.49,1.51526,1.66863,1.31669,0.99888,0.7561,0.7706,0.67286,0.80439,1.0209,0.9311,0.001406,0.001406,0.001406
17,1074.86,1.61396,1.7763,1.32404,0.99876,0.7561,0.77788,0.65369,0.93574,1.05358,0.97855,0.0013664,0.0013664,0.0013664
18,1137.16,1.47249,1.61531,1.27147,0.99874,0.7561,0.78367,0.68182,0.84778,1.14125,0.96874,0.0013268,0.0013268,0.0013268
19,1199.35,1.41067,1.51562,1.23382,0.99891,0.7561,0.76016,0.68288,0.82319,1.13966,0.98656,0.0012872,0.0012872,0.0012872
20,1261.45,1.30409,1.41208,1.18721,0.99909,0.7561,0.77199,0.68398,0.79502,1.02356,0.93065,0.0012476,0.0012476,0.0012476
21,1323.84,1.42147,1.55462,1.2404,0.99908,0.7561,0.76563,0.6838,0.76322,0.79385,0.92293,0.001208,0.001208,0.001208
22,1386.07,1.20904,1.29042,1.12604,0.99909,0.7561,0.78908,0.68869,0.75904,0.8603,0.91649,0.0011684,0.0011684,0.0011684
23,1448.1,1.35112,1.45854,1.20699,0.99898,0.7561,0.77883,0.69328,0.7312,0.80496,0.90819,0.0011288,0.0011288,0.0011288
24,1510.32,1.43921,1.57662,1.25855,0.99897,0.7561,0.76968,0.69813,0.66236,0.77603,0.89536,0.0010892,0.0010892,0.0010892
25,1572.34,1.4336,1.49865,1.22017,0.99914,0.7561,0.76657,0.68448,0.72418,0.84615,0.90502,0.0010496,0.0010496,0.0010496
26,1633.9,1.27879,1.40998,1.17039,0.99856,0.7561,0.76068,0.67949,0.72598,0.92019,0.91092,0.00101,0.00101,0.00101
27,1695.78,1.27287,1.38011,1.17516,0.99904,0.7561,0.7559,0.67689,0.75027,1.01408,0.998,0.0009704,0.0009704,0.0009704
28,1757.56,1.43711,1.61549,1.27161,0.99885,0.7561,0.76105,0.69254,0.69711,0.80991,0.89587,0.0009308,0.0009308,0.0009308
29,1819.15,1.44569,1.6105,1.24924,0.99895,0.7561,0.7704,0.70845,0.67929,0.90445,0.90925,0.0008912,0.0008912,0.0008912
30,1881.27,1.37899,1.5447,1.24195,0.99905,0.7561,0.77772,0.70771,0.66369,0.8576,0.90299,0.0008516,0.0008516,0.0008516
31,1943.69,1.31217,1.46333,1.22214,0.99887,0.7561,0.75869,0.68342,0.6807,0.91397,0.89722,0.000812,0.000812,0.000812
32,2005.76,1.3591,1.47761,1.25975,0.9989,0.7561,0.76146,0.69669,0.65232,0.87735,0.89185,0.0007724,0.0007724,0.0007724
33,2068.61,1.21353,1.35194,1.17273,0.9991,0.7561,0.78085,0.72962,0.60677,0.68446,0.87596,0.0007328,0.0007328,0.0007328
34,2134.2,1.27253,1.43786,1.19923,0.99917,0.7561,0.78602,0.73717,0.5824,0.70108,0.8756,0.0006932,0.0006932,0.0006932
35,2197.7,1.33126,1.46591,1.23544,0.99919,0.7561,0.78691,0.73834,0.66752,0.98667,0.91178,0.0006536,0.0006536,0.0006536
36,2261.31,1.38551,1.55741,1.25883,0.999,0.7561,0.76109,0.71619,0.65632,0.94771,0.9023,0.000614,0.000614,0.000614
37,2324.75,1.19255,1.32695,1.16268,0.99908,0.7561,0.76735,0.72803,0.60694,0.70585,0.88532,0.0005744,0.0005744,0.0005744
38,2386.53,1.19227,1.3215,1.15879,0.99904,0.7561,0.76174,0.71795,0.60606,0.73446,0.88856,0.0005348,0.0005348,0.0005348
39,2446.48,1.27399,1.44255,1.21543,0.99907,0.7561,0.76706,0.7094,0.65934,0.72136,0.89669,0.0004952,0.0004952,0.0004952
40,2506.17,1.24653,1.40192,1.16961,0.999,0.7561,0.7613,0.72358,0.6234,0.93497,0.90471,0.0004556,0.0004556,0.0004556
41,2567.2,1.36858,1.60935,1.1627,0.99908,0.7561,0.76833,0.69,0.7106,0.78303,0.90103,0.000416,0.000416,0.000416
42,2628.75,1.14367,1.32871,1.08543,0.99909,0.7561,0.76083,0.68509,0.71907,1.03837,0.92017,0.0003764,0.0003764,0.0003764
43,2689.62,1.01258,1.17244,1.03555,0.99914,0.7561,0.78862,0.72779,0.62167,0.66357,0.87159,0.0003368,0.0003368,0.0003368
44,2750.91,0.99274,1.18894,1.05619,0.99905,0.7561,0.7689,0.71651,0.59029,0.8044,0.86924,0.0002972,0.0002972,0.0002972
45,2812.04,1.02673,1.21886,1.07211,0.9991,0.7561,0.7853,0.73382,0.55374,0.64847,0.8663,0.0002576,0.0002576,0.0002576
46,2873.37,1.0031,1.16652,1.05984,0.99908,0.7561,0.78437,0.73224,0.58233,0.64845,0.87096,0.000218,0.000218,0.000218
47,2935.09,0.9561,1.12936,1.03873,0.99909,0.7561,0.85668,0.83055,0.58567,0.8155,0.88197,0.0001784,0.0001784,0.0001784
48,2996.96,0.91079,1.09117,1.03973,0.99909,0.7561,0.80452,0.77225,0.58878,0.87674,0.8882,0.0001388,0.0001388,0.0001388
49,3059.01,1.05754,1.26933,1.09727,0.99909,0.7561,0.81149,0.77674,0.57842,0.83553,0.88523,9.92e-05,9.92e-05,9.92e-05
50,3120.83,1.00024,1.18332,1.08271,0.9991,0.7561,0.85534,0.82514,0.56584,0.79212,0.87962,5.96e-05,5.96e-05,5.96e-05
